ticker,quarter,cik
APA,2021Q1,1841666
APA,2021Q2,1841666
APA,2021Q3,1841666
APA,2021Q4,1841666
APA,2022Q1,1841666
APA,2022Q2,1841666
APA,2022Q3,1841666
APA,2022Q4,1841666
APA,2023Q1,1841666
APA,2023Q2,1841666
APA,2023Q3,1841666
APA,2023Q4,1841666
APA,2024Q1,1841666
APA,2024Q2,1841666
APA,2024Q3,1841666
APA,2024Q4,1841666
APD,2020Q1,2969
APD,2020Q2,2969
APD,2020Q3,2969
APD,2020Q4,2969
APD,2021Q1,2969
APD,2021Q2,2969
APD,2021Q3,2969
APD,2021Q4,2969
APD,2022Q1,2969
APD,2022Q2,2969
APD,2022Q3,2969
APD,2022Q4,2969
APD,2023Q1,2969
APD,2023Q2,2969
APD,2023Q3,2969
APD,2023Q4,2969
APD,2024Q1,2969
APD,2024Q2,2969
APD,2024Q3,2969
APD,2024Q4,2969
APH,2020Q1,820313
APH,2020Q2,820313
APH,2020Q3,820313
APH,2020Q4,820313
APH,2021Q1,820313
APH,2021Q2,820313
APH,2021Q3,820313
APH,2021Q4,820313
APH,2022Q1,820313
APH,2022Q2,820313
APH,2022Q3,820313
APH,2022Q4,820313
APH,2023Q1,820313
APH,2023Q2,820313
APH,2023Q3,820313
APH,2023Q4,820313
APH,2024Q1,820313
APH,2024Q2,820313
APH,2024Q3,820313
APH,2024Q4,820313
APO,2024Q4,1858681
APTV,2020Q1,1521332
APTV,2020Q2,1521332
APTV,2020Q3,1521332
APTV,2020Q4,1521332
APTV,2021Q1,1521332
APTV,2021Q2,1521332
APTV,2021Q3,1521332
APTV,2021Q4,1521332
APTV,2022Q1,1521332
APTV,2022Q2,1521332
APTV,2022Q3,1521332
APTV,2022Q4,1521332
APTV,2023Q1,1521332
APTV,2023Q2,1521332
APTV,2023Q3,1521332
APTV,2023Q4,1521332
APTV,2024Q1,1521332
APTV,2024Q2,1521332
APTV,2024Q3,1521332
APTV,2024Q4,1521332
ARE,2020Q1,1035443
ARE,2020Q2,1035443
ARE,2020Q3,1035443
ARE,2020Q4,1035443
ARE,2021Q1,1035443
ARE,2021Q2,1035443
ARE,2021Q3,1035443
ARE,2021Q4,1035443
ARE,2022Q1,1035443
ARE,2022Q2,1035443
ARE,2022Q3,1035443
ARE,2022Q4,1035443
ARE,2023Q1,1035443
ARE,2023Q2,1035443
ARE,2023Q3,1035443
ARE,2023Q4,1035443
ARE,2024Q1,1035443
ARE,2024Q2,1035443
ARE,2024Q3,1035443
ARE,2024Q4,1035443
ARNC,2020Q1,4281
ATO,2020Q1,731802
ATO,2020Q2,731802
ATO,2020Q3,731802
ATO,2020Q4,731802
ATO,2021Q1,731802
ATO,2021Q2,731802
ATO,2021Q3,731802
ATO,2021Q4,731802
ATO,2022Q1,731802
ATO,2022Q2,731802
ATO,2022Q3,731802
ATO,2022Q4,731802
ATO,2023Q1,731802
ATO,2023Q2,731802
ATO,2023Q3,731802
ATO,2023Q4,731802
ATO,2024Q1,731802
ATO,2024Q2,731802
ATO,2024Q3,731802
ATO,2024Q4,731802
ATVI,2020Q1,718877
ATVI,2020Q2,718877
ATVI,2020Q3,718877
ATVI,2020Q4,718877
ATVI,2021Q1,718877
ATVI,2021Q2,718877
ATVI,2021Q3,718877
ATVI,2021Q4,718877
ATVI,2022Q1,718877
ATVI,2022Q2,718877
ATVI,2022Q3,718877
ATVI,2022Q4,718877
ATVI,2023Q1,718877
ATVI,2023Q2,718877
ATVI,2023Q3,718877
AVB,2020Q1,915912
AVB,2020Q2,915912
AVB,2020Q3,915912
AVB,2020Q4,915912
AVB,2021Q1,915912
AVB,2021Q2,915912
AVB,2021Q3,915912
AVB,2021Q4,915912
AVB,2022Q1,915912
AVB,2022Q2,915912
AVB,2022Q3,915912
AVB,2022Q4,915912
AVB,2023Q1,915912
AVB,2023Q2,915912
AVB,2023Q3,915912
AVB,2023Q4,915912
AVB,2024Q1,915912
AVB,2024Q2,915912
AVB,2024Q3,915912
AVB,2024Q4,915912
AVGO,2020Q1,1730168
AVGO,2020Q2,1730168
AVGO,2020Q3,1730168
AVGO,2020Q4,1730168
AVGO,2021Q1,1730168
AVGO,2021Q2,1730168
AVGO,2021Q3,1730168
AVGO,2021Q4,1730168
AVGO,2022Q1,1730168
AVGO,2022Q2,1730168
AVGO,2022Q3,1730168
AVGO,2022Q4,1730168
AVGO,2023Q1,1730168
AVGO,2023Q2,1730168
AVGO,2023Q3,1730168
AVGO,2023Q4,1730168
